id,station_code,station_name_tw,station_name_en,line_code,line_name,zipcode,address,lat,lon
B11,BR24,南港展覽館,Taipei Nangang Exhibition Center,BR,文湖線,11568,台北市南港區南港路一段32號,25.055288,121.6175001
B10,BR23,南港軟體園區,Nangang Software Park,BR,文湖線,11568,台北市南港區經貿二路183號,25.059905,121.615953
B9,BR22,東湖,Donghu,BR,文湖線,11486,台北市內湖區康寧路三段235號,25.067147,121.611445
B8,BR21,葫洲,Huzhou,BR,文湖線,11486,台北市內湖區康寧路三段16號,25.072701,121.607158
B7,BR20,大湖公園,Dahu Park,BR,文湖線,11477,台北市內湖區成功路五段11號,25.083845,121.602141
B6,BR19,內湖,Neihu,BR,文湖線,11489,台北市內湖區成功路四段186號,25.083661,121.594408
B5,BR18,文德,Wende,BR,文湖線,11475,台北市內湖區文德路214號,25.078532,121.584761
B4,BR17,港墘,Gangqian,BR,文湖線,11446,台北市內湖區內湖路一段663號,25.080028,121.575081
B3,BR16,西湖,Xihu,BR,文湖線,11493,台北市內湖區內湖路一段256號,25.082133,121.567213
B2,BR15,劍南路,Jiannan Rd.,BR,文湖線,10464,台北市中山區北安路798號,25.084853,121.555592
B1,BR14,大直,Dazhi,BR,文湖線,10465,台北市中山區北安路534之1號,25.079477,121.546895
BR1,BR13,松山機場,Songshan Airport,BR,文湖線,10576,台北市松山區敦化北路338號,25.063,121.551996
BR2,BR12,中山國中,Zhongshan Junior High School,BR,文湖線,10476,台北市中山區復興北路376號,25.060849,121.544227
BR3,BR11,南京復興,Nanjing Fuxing,BR,文湖線,10550,台北市松山區南京東路三段253號,25.052319,121.544011
BR4,BR10,忠孝復興,Zhongxiao Fuxing,BR,文湖線,10654,台北市大安區忠孝東路四段47號,25.041629,121.543767
BR5,BR09,大安,Daan,BR,文湖線,10683,台北市大安區信義路四段2號,25.032943,121.543551
BR6,BR08,科技大樓,Technology Building,BR,文湖線,10667,台北市大安區復興南路二段235號,25.026125,121.543437
BR7,BR07,六張犁,Liuzhangli,BR,文湖線,10674,台北市大安區和平東路三段168號,25.023777,121.553115
BR8,BR06,麟光,Linguang,BR,文湖線,10676,台北市大安區和平東路三段410號,25.018535,121.558791
BR9,BR05,辛亥,Xinhai,BR,文湖線,11694,台北市文山區辛亥路四段128號,25.005475,121.557107
BR10,BR04,萬芳醫院,Wanfang Hospital,BR,文湖線,11696,台北市文山區興隆路三段113號,24.999386,121.558152
BR11,BR03,萬芳社區,Wanfang Community,BR,文湖線,11653,台北市文山區萬芳路60號,24.998585,121.568102
BR12,BR02,木柵,Muzha,BR,文湖線,11656,台北市文山區木柵路四段135號,24.998241,121.573145
BR13,BR01,動物園,Taipei Zoo,BR,文湖線,11656,台北市文山區新光路二段32號,24.998197,121.579338
R33,R28,淡水,Tamsui,R,淡水信義線,25158,新北市淡水區中正路1號,25.167818,121.445561
